profile,elem_type,algo,size,runs,time_s,display
Sorted,int,Quick,10000,10,0.009881350,9.88 ms
Sorted,int,Quick,100000,1,0.119075458,119.08 ms
Sorted,int,Quick,1000000,1,1.343672167,1.344 s
Sorted,int,Quick,10000000,1,TIMEOUT,TIMEOUT
Sorted,int,Heap,50,20000,0.000040555,40.55 μs
Sorted,int,Heap,100,10000,0.000084255,84.25 μs
Sorted,int,Heap,1000,100,0.001285220,1.29 ms
Sorted,int,Heap,10000,10,0.017805992,17.81 ms
Sorted,int,Heap,100000,1,0.218940583,218.94 ms
Sorted,int,Heap,1000000,1,2.782340875,2.782 s
Sorted,int,Heap,10000000,1,TIMEOUT,TIMEOUT
Sorted,int,Counting,50,20000,0.000007124,7.12 μs
Sorted,int,Counting,100,10000,0.000014315,14.32 μs
Sorted,int,Counting,1000,100,0.000146472,146.47 μs
Sorted,int,Counting,10000,10,0.001497138,1.50 ms
Sorted,int,Counting,100000,1,0.015396083,15.40 ms
Sorted,int,Counting,1000000,1,0.160997291,161.00 ms
Sorted,int,Counting,10000000,1,0.298938833,298.94 ms
Sorted,int,LinkedListMerge,50,20000,0.000027453,27.45 μs
Sorted,int,LinkedListMerge,100,10000,0.000059444,59.44 μs
Sorted,int,LinkedListMerge,1000,100,0.000711481,711.48 μs
Sorted,int,LinkedListMerge,10000,10,0.008882892,8.88 ms
Sorted,int,LinkedListMerge,100000,1,0.107596042,107.60 ms
Sorted,int,LinkedListMerge,1000000,1,1.242117083,1.242 s
Sorted,int,LinkedListMerge,10000000,1,TIMEOUT,TIMEOUT
Sorted,int,TimSort,50,20000,0.000000374,373.88 ns
Sorted,int,TimSort,100,10000,0.000000673,673.43 ns
Sorted,int,TimSort,1000,100,0.000004348,4.35 μs
Sorted,int,TimSort,10000,10,0.000054854,54.85 μs
Sorted,int,TimSort,100000,1,0.000614750,614.75 μs
Sorted,int,TimSort,1000000,1,0.010621500,10.62 ms
Sorted,int,TimSort,10000000,1,0.145011959,145.01 ms
Reverse_Sorted,int,Bubble,50,20000,0.000084963,84.96 μs
Reverse_Sorted,int,Bubble,100,10000,0.000334257,334.26 μs
Reverse_Sorted,int,Bubble,1000,100,0.038359985,38.36 ms
Reverse_Sorted,int,Bubble,10000,10,TIMEOUT,TIMEOUT
